dataset,id,sent_i,n_words,n_class_hits,n_attr_hits,n_rel_endpoint_hits,n_tokens_spacy
kaiser,BusTransportationManagementSystem,4,13,0,1,0,15
kaiser,BusTransportationManagementSystem,5,10,1,0,1,11
kaiser,BusTransportationManagementSystem,6,20,2,1,2,21
kaiser,BusTransportationManagementSystem,7,17,2,1,2,20
kaiser,BusTransportationManagementSystem,8,15,2,1,1,19
kaiser,BusTransportationManagementSystem,9,18,3,2,2,19
kaiser,BusTransportationManagementSystem,10,25,2,1,2,27
kaiser,BusTransportationManagementSystem,11,16,2,0,2,18
kaiser,BusTransportationManagementSystem,12,24,1,0,1,26
kaiser,BusTransportationManagementSystem,13,22,2,6,2,24
kaiser,BusTransportationManagementSystem,14,19,3,0,3,23
kaiser,BusTransportationManagementSystem,15,31,2,3,2,36
kaiser,BusTransportationManagementSystem,16,24,2,4,2,28
kaiser,CardGameApp,0,14,2,0,2,15
kaiser,CardGameApp,1,13,0,0,0,14
kaiser,CardGameApp,2,27,2,0,2,31
kaiser,CardGameApp,3,8,1,0,1,9
kaiser,CardGameApp,4,15,1,0,1,18
kaiser,CardGameApp,5,11,0,0,0,15
kaiser,CardGameApp,6,20,1,0,1,22
kaiser,CardGameApp,7,12,2,1,2,13
kaiser,CardGameApp,8,12,2,1,2,14
kaiser,CardGameApp,9,16,2,1,2,19
kaiser,CardGameApp,10,9,2,1,2,12
kaiser,CardGameApp,11,14,0,1,0,16
kaiser,CelO,0,19,0,0,0,21
kaiser,CelO,1,13,0,0,0,14
kaiser,CelO,2,10,1,0,1,12
kaiser,CelO,3,15,2,0,2,18
kaiser,CelO,4,27,1,8,1,34
kaiser,CelO,5,33,3,0,3,39
kaiser,CelO,6,24,2,4,2,27
kaiser,CelO,7,26,2,2,2,28
kaiser,CelO,8,19,1,3,1,20
kaiser,CelO,9,13,2,0,2,15
kaiser,CelO,10,7,2,0,2,10
kaiser,CelO,11,35,1,3,1,39
kaiser,CelO,12,21,2,0,2,26
kaiser,CelO,13,33,3,1,3,36
kaiser,CelO,14,15,2,0,2,18
kaiser,CelO,15,14,1,0,1,16
kaiser,CelO,16,27,3,0,3,32
kaiser,CelO,17,20,3,0,3,22
kaiser,CelO,18,30,3,0,3,33
kaiser,CelO,19,14,2,0,2,15
kaiser,CelO,20,19,3,0,3,21
kaiser,CelO,21,27,2,0,2,29
kaiser,CelO,22,20,3,0,3,22
kaiser,ClothingCompany,0,23,0,0,0,27
kaiser,ClothingCompany,1,7,0,0,0,8
kaiser,ClothingCompany,2,24,1,0,1,30
kaiser,ClothingCompany,3,12,0,4,0,15
kaiser,ClothingCompany,4,12,2,0,2,13
kaiser,ClothingCompany,5,40,2,6,2,45
kaiser,ClothingCompany,6,18,2,0,2,20
kaiser,ClothingCompany,7,22,0,3,0,27
kaiser,ClothingCompany,8,8,2,0,2,9
kaiser,ClothingCompany,9,19,1,4,1,24
kaiser,ClothingCompany,10,8,0,0,0,9
kaiser,ClothingCompany,11,11,2,1,2,12
kaiser,ClothingCompany,12,14,1,4,1,17
kaiser,Cruise,0,16,2,3,2,18
kaiser,Cruise,1,17,1,6,1,18
kaiser,Cruise,2,16,1,3,1,19
kaiser,Cruise,3,24,2,3,2,26
kaiser,Cruise,4,9,1,0,1,13
kaiser,Cruise,5,21,1,2,1,25
kaiser,Cruise,6,8,1,0,1,10
kaiser,Cruise,7,8,3,1,3,9
kaiser,Cruise,8,11,0,3,0,12
kaiser,Cruise,9,9,2,2,2,11
kaiser,Cruise,10,24,2,3,2,27
kaiser,Cruise,11,17,2,3,2,21
kaiser,Cruise,12,13,2,1,2,15
kaiser,Cruise,13,7,1,1,1,8
kaiser,Cruise,14,7,2,1,2,8
kaiser,Cruise,15,14,3,2,3,16
kaiser,DestroyBlockGame,0,32,6,0,6,34
kaiser,DestroyBlockGame,1,8,2,1,2,3
kaiser,DestroyBlockGame,2,10,3,1,3,7
kaiser,DestroyBlockGame,3,26,3,1,3,11
kaiser,DestroyBlockGame,4,7,2,0,2,27
kaiser,DestroyBlockGame,5,12,4,1,4,9
kaiser,DestroyBlockGame,6,11,3,1,3,13
kaiser,DestroyBlockGame,7,22,3,2,3,12
kaiser,DestroyBlockGame,8,10,2,0,2,24
kaiser,DestroyBlockGame,9,15,2,2,2,11
kaiser,DestroyBlockGame,10,11,3,2,3,16
kaiser,DestroyBlockGame,11,11,2,2,2,13
kaiser,DestroyBlockGame,12,39,2,3,2,12
kaiser,DestroyBlockGame,13,31,3,3,3,40
kaiser,DestroyBlockGame,14,21,3,3,3,35
kaiser,DestroyBlockGame,15,31,4,6,4,22
kaiser,DestroyBlockGame,16,20,2,4,2,34
kaiser,DestroyBlockGame,17,16,3,2,3,25
kaiser,DestroyBlockGame,18,30,4,2,4,3
kaiser,DestroyBlockGame,19,20,2,2,2,15
kaiser,DestroyBlockGame,20,17,3,2,3,32
kaiser,DestroyBlockGame,21,26,4,3,4,21
kaiser,DestroyBlockGame,22,11,1,3,1,18
kaiser,DestroyBlockGame,23,22,1,1,1,27
kaiser,DestroyBlockGame,24,23,4,2,4,12
kaiser,DestroyBlockGame,25,14,4,2,4,23
kaiser,DestroyBlockGame,26,19,3,2,3,28
kaiser,DestroyBlockGame,27,8,2,1,2,16
kaiser,DestroyBlockGame,28,32,6,4,6,23
kaiser,DestroyBlockGame,29,17,4,2,4,9
kaiser,DestroyBlockGame,30,9,2,0,2,35
kaiser,DestroyBlockGame,31,15,4,1,4,19
kaiser,DestroyBlockGame,32,23,4,0,4,10
kaiser,DestroyBlockGame,33,7,2,2,2,17
kaiser,DestroyBlockGame,34,16,4,1,4,25
kaiser,DestroyBlockGame,35,12,2,0,2,8
kaiser,DestroyBlockGame,36,20,2,0,2,17
kaiser,EUScienceConnect,0,29,1,0,1,33
kaiser,EUScienceConnect,1,12,0,0,0,14
kaiser,EUScienceConnect,2,12,1,0,1,15
kaiser,EUScienceConnect,3,13,2,4,2,15
kaiser,EUScienceConnect,4,26,3,5,3,31
kaiser,EUScienceConnect,5,21,5,1,5,24
kaiser,EUScienceConnect,6,10,0,0,0,11
kaiser,EUScienceConnect,7,26,1,2,1,30
kaiser,EUScienceConnect,8,13,1,1,1,15
kaiser,EUScienceConnect,9,22,6,0,6,25
kaiser,EUScienceConnect,10,15,3,2,3,17
kaiser,EUScienceConnect,11,21,4,1,4,24
kaiser,EUScienceConnect,12,13,0,0,0,17
kaiser,EUScienceConnect,13,6,1,1,1,7
kaiser,EUScienceConnect,14,12,2,0,2,13
kaiser,EUScienceConnect,15,14,1,1,1,17
kaiser,EUScienceConnect,16,29,1,2,1,31
kaiser,EUScienceConnect,17,14,1,2,1,17
kaiser,EUScienceConnect,18,12,3,0,3,16
kaiser,Ebike,0,28,5,5,5,13
kaiser,Ebike,1,7,1,1,1,23
kaiser,Ebike,2,8,3,3,3,8
kaiser,Ebike,3,9,2,1,2,10
kaiser,Ebike,4,11,1,3,1,10
kaiser,Ebike,5,13,1,1,1,16
kaiser,Ebike,6,14,3,3,3,18
kaiser,Ebike,7,16,3,1,3,18
kaiser,Ebike,8,18,2,1,2,20
kaiser,Facepage,0,9,0,0,0,13
kaiser,Facepage,1,21,0,1,0,24
kaiser,Facepage,2,28,1,6,1,35
kaiser,Facepage,3,6,1,2,1,7
kaiser,Facepage,4,5,1,1,1,7
kaiser,Facepage,5,15,1,2,1,17
kaiser,Facepage,6,19,4,4,4,22
kaiser,Facepage,7,13,2,1,2,14
kaiser,Facepage,8,19,3,5,3,22
kaiser,Facepage,9,9,2,1,2,10
kaiser,Facepage,10,18,3,2,3,21
kaiser,Facepage,11,9,2,0,2,11
kaiser,Facepage,12,16,0,1,0,19
kaiser,Facepage,13,26,4,2,4,32
kaiser,Facepage,14,6,1,1,1,7
kaiser,Facepage,15,36,3,3,3,41
kaiser,Facepage,16,13,1,5,1,15
kaiser,Facepage,17,12,1,2,1,14
kaiser,Facepage,18,15,3,3,3,17
kaiser,Facepage,19,17,1,5,1,22
kaiser,Facepage,20,14,1,4,1,15
kaiser,Facepage,21,18,1,5,1,20
kaiser,Facepage,22,19,0,2,0,21
kaiser,FilmSet,0,7,2,0,2,8
kaiser,FilmSet,1,11,1,3,1,12
kaiser,FilmSet,2,10,1,0,1,13
kaiser,FilmSet,3,18,2,3,2,20
kaiser,FilmSet,4,20,0,1,0,22
kaiser,FilmSet,5,15,1,3,1,19
kaiser,FilmSet,6,9,2,1,2,10
kaiser,FilmSet,7,20,2,0,2,22
kaiser,FilmSet,8,10,1,3,1,11
kaiser,FilmSet,9,20,1,1,1,27
kaiser,FilmSet,10,11,1,2,1,12
kaiser,FilmSet,11,13,1,0,1,15
kaiser,FilmSet,12,14,1,7,1,19
kaiser,FilmSet,13,12,2,0,2,13
kaiser,FilmSet,14,8,1,2,1,9
kaiser,FilmSet,15,21,3,0,3,23
kaiser,FilmSet,16,17,2,0,2,18
kaiser,FilmSet,17,13,3,1,3,14
kaiser,FitnessCompanyConan,0,14,0,0,0,17
kaiser,FitnessCompanyConan,1,21,0,0,0,23
kaiser,FitnessCompanyConan,2,8,0,0,0,9
kaiser,FitnessCompanyConan,3,12,1,1,1,16
kaiser,FitnessCompanyConan,4,16,1,1,1,19
kaiser,FitnessCompanyConan,5,6,1,2,1,7
kaiser,FitnessCompanyConan,6,15,2,1,2,33
kaiser,FitnessCompanyConan,7,11,2,0,2,8
kaiser,FitnessCompanyConan,8,7,3,0,3,8
kaiser,FitnessCompanyConan,9,7,2,0,2,19
kaiser,FitnessCompanyConan,10,15,1,4,1,19
kaiser,FitnessCompanyConan,11,16,0,4,0,10
kaiser,FitnessCompanyConan,12,8,1,1,1,22
kaiser,FitnessCompanyConan,13,19,5,0,5,39
kaiser,FitnessCompanyConan,14,32,1,0,1,13
kaiser,FitnessCompanyConan,15,11,1,1,1,21
kaiser,FitnessCompanyConan,16,14,1,1,1,23
kaiser,FitnessCompanyConan,17,22,1,2,1,28
kaiser,FitnessCompanyConan,18,26,5,2,5,0
kaiser,GameArea,0,15,2,1,2,16
kaiser,GameArea,1,12,0,1,0,13
kaiser,GameArea,2,9,0,0,0,13
kaiser,GameArea,3,9,2,2,2,10
kaiser,GameArea,4,16,3,1,3,17
kaiser,GameArea,5,27,3,3,3,29
kaiser,GameArea,6,8,1,0,1,10
kaiser,GameArea,7,10,0,2,0,11
kaiser,GameArea,8,14,2,0,2,16
kaiser,GameArea,9,14,0,3,0,16
kaiser,GameArea,10,36,3,0,3,39
kaiser,GameArea,11,3,0,0,0,4
kaiser,GasStation_KUL,0,13,1,1,1,14
kaiser,GasStation_KUL,1,26,4,3,4,29
kaiser,GasStation_KUL,2,13,3,2,3,15
kaiser,GasStation_KUL,3,30,4,1,4,34
kaiser,GasStation_KUL,4,18,1,0,1,20
kaiser,GasStation_KUL,5,20,1,1,1,23
kaiser,GasStation_KUL,6,15,1,0,1,17
kaiser,GasStation_KUL,7,15,3,2,3,16
kaiser,GasStation_KUL,8,21,2,1,2,23
kaiser,GasStation_KUL,9,18,1,0,1,21
kaiser,GasStation_KUL,10,11,0,0,0,38
kaiser,GasStation_KUL,11,22,1,3,1,27
kaiser,GasStation_KUL,12,23,0,1,0,16
kaiser,GasStation_KUL,13,13,0,0,0,17
kaiser,GasStation_KUL,14,16,2,2,2,18
kaiser,GasStation_KUL,15,16,2,1,2,11
kaiser,GasStation_KUL,16,9,0,0,0,11
kaiser,GasStation_KUL,17,10,0,0,0,13
kaiser,GasStation_KUL,18,11,1,1,1,19
kaiser,GasStation_KUL,19,16,1,0,1,24
kaiser,GasStation_KUL,20,22,1,0,1,8
kaiser,GasStation_KUL,21,6,0,0,0,29
kaiser,GasStation_KUL,22,28,1,0,1,34
kaiser,GasStation_KUL,23,31,1,1,1,41
kaiser,GasStation_KUL,24,37,3,1,3,19
kaiser,GasStation_KUL,25,18,3,0,3,0
kaiser,GasStation_TUW,0,14,2,0,2,15
kaiser,GasStation_TUW,1,24,2,2,2,27
kaiser,GasStation_TUW,2,18,1,1,1,22
kaiser,GasStation_TUW,3,14,2,3,2,16
kaiser,GasStation_TUW,4,13,2,1,2,15
kaiser,GasStation_TUW,5,15,1,2,1,18
kaiser,GasStation_TUW,6,8,4,0,4,9
kaiser,GasStation_TUW,7,18,5,2,5,21
kaiser,GasStation_TUW,8,7,1,2,1,8
kaiser,GasStation_TUW,9,30,5,3,5,32
kaiser,GasStation_TUW,10,12,1,1,1,14
kaiser,HelpingHands,0,25,2,0,2,29
kaiser,HelpingHands,1,12,0,0,0,14
kaiser,HelpingHands,2,42,1,2,1,46
kaiser,HelpingHands,3,24,1,7,1,29
kaiser,HelpingHands,4,27,1,2,1,29
kaiser,HelpingHands,5,15,0,0,0,17
kaiser,HelpingHands,6,24,3,0,3,26
kaiser,HelpingHands,7,10,1,0,1,11
kaiser,HelpingHands,8,20,2,0,2,21
kaiser,HelpingHands,9,12,0,0,0,11
kaiser,HelpingHands,10,19,2,0,2,21
kaiser,HelpingHands,11,26,2,0,2,50
kaiser,HelpingHands,12,17,2,0,2,14
kaiser,HelpingHands,13,13,0,1,0,21
kaiser,HelpingHands,14,20,2,1,2,37
kaiser,HelpingHands,15,28,1,1,1,36
kaiser,HelpingHands,16,34,2,0,2,15
kaiser,HelpingHands,17,13,0,0,0,27
kaiser,HelpingHands,18,25,0,0,0,23
kaiser,HelpingHands,19,21,2,1,2,20
kaiser,HelpingHands,20,19,2,0,2,0
kaiser,HomeForTheElderly,0,9,0,0,0,11
kaiser,HomeForTheElderly,1,16,2,0,2,18
kaiser,HomeForTheElderly,2,10,2,0,2,13
kaiser,HomeForTheElderly,3,7,2,0,2,9
kaiser,HomeForTheElderly,4,5,1,1,1,7
kaiser,HomeForTheElderly,5,18,1,0,1,31
kaiser,HomeForTheElderly,6,11,1,0,1,12
kaiser,HomeForTheElderly,7,22,1,0,1,22
kaiser,HomeForTheElderly,8,13,1,0,1,14
kaiser,HomeForTheElderly,9,17,1,0,1,18
kaiser,HomeForTheElderly,10,12,0,1,0,14
kaiser,HomeForTheElderly,11,16,1,1,1,17
kaiser,HomeForTheElderly,12,14,1,0,1,16
kaiser,HomeForTheElderly,13,54,2,3,2,61
kaiser,HomeForTheElderly,14,12,2,1,2,13
kaiser,HomeForTheElderly,15,24,2,1,2,26
kaiser,HomeForTheElderly,16,13,0,2,0,14
kaiser,HomeForTheElderly,17,25,3,0,3,27
kaiser,HomeForTheElderly,18,22,2,0,2,25
kaiser,HomeForTheElderly,19,31,3,1,3,45
kaiser,HomeForTheElderly,20,9,2,0,2,24
kaiser,HomeForTheElderly,21,21,3,2,3,21
kaiser,HomeForTheElderly,22,18,1,2,1,46
kaiser,HomeForTheElderly,23,40,3,1,3,7
kaiser,HomeForTheElderly,24,6,0,0,0,18
kaiser,HomeForTheElderly,25,15,0,0,0,24
kaiser,HomeForTheElderly,26,21,1,3,1,16
kaiser,HomeForTheElderly,27,12,1,2,1,37
kaiser,HomeForTheElderly,28,29,1,3,1,40
kaiser,HomeForTheElderly,29,35,2,3,2,39
kaiser,HomeForTheElderly,30,33,1,1,1,38
kaiser,HomeForTheElderly,31,33,2,1,2,14
kaiser,HomeForTheElderly,32,12,1,2,1,38
kaiser,HomeForTheElderly,33,4,0,0,0,0
kaiser,HomeForTheElderly,34,31,1,0,1,0
kaiser,HospitalHouseMD,0,13,0,0,0,15
kaiser,HospitalHouseMD,1,17,2,0,2,19
kaiser,HospitalHouseMD,2,11,1,0,1,12
kaiser,HospitalHouseMD,3,12,2,0,2,13
kaiser,HospitalHouseMD,4,22,3,0,3,25
kaiser,HospitalHouseMD,5,7,1,0,1,9
kaiser,HospitalHouseMD,6,7,1,1,1,8
kaiser,HospitalHouseMD,7,15,2,2,2,18
kaiser,HospitalHouseMD,8,24,1,1,1,27
kaiser,HospitalHouseMD,9,16,2,2,2,18
kaiser,HospitalHouseMD,10,20,1,2,1,23
kaiser,HospitalHouseMD,11,26,3,2,3,29
kaiser,HospitalHouseMD,12,28,1,2,1,33
kaiser,HospitalHouseMD,13,23,1,1,1,25
kaiser,HospitalHouseMD,14,32,3,0,3,38
kaiser,HospitalHouseMD,15,16,0,1,0,19
kaiser,HospitalHouseMD,16,2,0,0,0,13
kaiser,HospitalHouseMD,17,12,1,1,1,13
kaiser,HospitalHouseMD,18,11,0,1,0,29
kaiser,HospitalHouseMD,19,26,2,2,2,24
kaiser,HospitalHouseMD,20,23,2,3,2,0
kaiser,HotelBookingManagementSystem,0,13,2,1,2,14
kaiser,HotelBookingManagementSystem,1,11,2,1,2,14
kaiser,HotelBookingManagementSystem,2,10,1,3,1,26
kaiser,HotelBookingManagementSystem,3,9,0,0,0,69
kaiser,HotelBookingManagementSystem,4,27,1,8,1,32
kaiser,HotelBookingManagementSystem,5,11,1,2,1,55
kaiser,HotelBookingManagementSystem,6,15,2,2,2,32
kaiser,HotelBookingManagementSystem,7,29,4,2,4,17
kaiser,HotelBookingManagementSystem,8,17,2,2,2,37
kaiser,HotelBookingManagementSystem,9,33,4,4,4,14
kaiser,HotelBookingManagementSystem,10,28,4,2,4,27
kaiser,HotelBookingManagementSystem,11,15,3,3,3,23
kaiser,HotelBookingManagementSystem,12,10,1,2,1,16
kaiser,HotelBookingManagementSystem,13,19,2,1,2,20
kaiser,HotelBookingManagementSystem,14,13,2,1,2,31
kaiser,HotelBookingManagementSystem,15,24,2,3,2,24
kaiser,HotelBookingManagementSystem,16,19,2,3,2,10
kaiser,HotelBookingManagementSystem,17,14,3,3,3,17
kaiser,HotelBookingManagementSystem,18,18,2,2,2,34
kaiser,HotelBookingManagementSystem,19,29,2,4,2,20
kaiser,HotelBookingManagementSystem,20,22,3,3,3,0
kaiser,HotelBookingManagementSystem,21,9,2,0,2,0
kaiser,HotelBookingManagementSystem,22,15,3,2,3,0
kaiser,HotelBookingManagementSystem,23,30,3,3,3,0
kaiser,HotelBookingManagementSystem,24,18,3,1,3,0
kaiser,House,0,14,2,3,2,19
kaiser,House,1,14,2,2,2,16
kaiser,House,2,13,2,0,2,15
kaiser,House,3,9,1,1,1,10
kaiser,House,4,10,3,0,3,12
kaiser,House,5,21,1,2,1,22
kaiser,House,6,11,4,0,4,13
kaiser,House,7,29,1,4,1,33
kaiser,House,8,13,1,0,1,15
kaiser,House,9,24,4,2,4,26
kaiser,Kinepolis,0,7,0,0,0,9
kaiser,Kinepolis,1,14,1,0,1,16
kaiser,Kinepolis,2,27,4,0,4,30
kaiser,Kinepolis,3,17,1,0,1,18
kaiser,Kinepolis,4,15,1,0,1,17
kaiser,Kinepolis,5,14,0,0,0,18
kaiser,Kinepolis,6,19,1,1,1,23
kaiser,Kinepolis,7,23,1,1,1,25
kaiser,Kinepolis,8,19,3,3,3,21
kaiser,Kinepolis,9,14,0,0,0,17
kaiser,Kinepolis,10,19,2,1,2,21
kaiser,Kinepolis,11,10,0,0,0,13
kaiser,Kinepolis,12,17,4,1,4,20
kaiser,Kinepolis,13,8,2,2,2,10
kaiser,Kinepolis,14,11,2,2,2,12
kaiser,Kinepolis,15,23,4,4,4,27
kaiser,Kinepolis,16,15,2,2,2,17
kaiser,Kinepolis,17,9,1,2,1,11
kaiser,Kinepolis,18,20,1,1,1,24
kaiser,Kinepolis,19,25,2,1,2,28
kaiser,LabTracker,0,27,2,1,2,21
kaiser,LabTracker,1,12,0,1,0,11
kaiser,LabTracker,2,27,2,5,2,15
kaiser,LabTracker,3,17,1,2,1,31
kaiser,LabTracker,4,12,2,1,2,19
kaiser,LabTracker,5,27,2,9,2,14
kaiser,LabTracker,6,19,2,0,2,33
kaiser,LabTracker,7,19,1,1,1,22
kaiser,LabTracker,8,18,1,0,1,20
kaiser,LabTracker,9,17,2,0,2,20
kaiser,LabTracker,10,20,2,1,2,18
kaiser,LabTracker,11,11,2,2,2,23
kaiser,LabTracker,12,14,0,1,0,12
kaiser,LabTracker,13,8,1,0,1,16
kaiser,LabTracker,14,35,1,0,1,9
kaiser,LabTracker,15,23,2,3,2,39
kaiser,LabTracker,16,11,0,1,0,24
kaiser,LabTracker,17,11,1,1,1,15
kaiser,LabTracker,18,22,3,2,3,13
kaiser,LabTracker,19,17,2,0,2,26
kaiser,LabTracker,20,29,2,0,2,19
kaiser,LabTracker,21,21,0,0,0,36
kaiser,LabTracker,22,22,5,1,5,26
kaiser,LabTracker,23,17,2,1,2,24
kaiser,LabTracker,24,30,2,8,2,19
kaiser,LabTracker,25,26,1,5,1,34
kaiser,LabTracker,26,9,2,1,2,28
kaiser,LabTracker,27,13,0,2,0,10
kaiser,LabTracker,28,15,2,3,2,14
kaiser,LabTracker,29,22,1,4,1,16
kaiser,Louvre,0,28,0,0,0,30
kaiser,Louvre,1,40,2,0,2,44
kaiser,Louvre,2,15,0,0,0,18
kaiser,Louvre,3,15,0,0,0,16
kaiser,Louvre,4,22,0,0,0,23
kaiser,Louvre,5,10,1,0,1,13
kaiser,Louvre,6,11,2,0,2,12
kaiser,Louvre,7,9,1,0,1,10
kaiser,Louvre,8,32,2,0,2,38
kaiser,Louvre,9,16,2,0,2,18
kaiser,Louvre,10,21,2,0,2,24
kaiser,Louvre,11,11,0,0,0,17
kaiser,Louvre,12,17,3,0,3,20
kaiser,Louvre,13,13,1,0,1,15
kaiser,Louvre,14,11,0,0,0,14
kaiser,Menso,0,21,1,0,1,24
kaiser,Menso,1,15,0,0,0,17
kaiser,Menso,2,34,2,0,2,37
kaiser,Menso,3,9,0,0,0,11
kaiser,Menso,4,25,1,0,1,28
kaiser,Menso,5,11,2,1,2,14
kaiser,Menso,6,13,1,1,1,15
kaiser,Menso,7,10,1,1,1,13
kaiser,Menso,8,5,1,0,1,8
kaiser,Menso,9,12,2,0,2,16
kaiser,Menso,10,17,1,0,1,19
kaiser,Menso,11,35,2,0,2,41
kaiser,Menso,12,2,0,0,0,28
kaiser,Menso,13,20,1,0,1,20
kaiser,Menso,14,15,3,0,3,18
kaiser,Menso,15,15,3,0,3,26
kaiser,Menso,16,24,6,2,6,35
kaiser,Menso,17,32,3,1,3,33
kaiser,Menso,18,29,4,1,4,15
kaiser,Menso,19,12,2,3,2,34
kaiser,Menso,20,28,2,0,2,17
kaiser,Menso,21,15,1,2,1,21
kaiser,Menso,22,17,3,2,3,23
kaiser,Menso,23,20,2,0,2,22
kaiser,Menso,24,17,2,0,2,25
kaiser,Menso,25,21,2,5,2,36
kaiser,Menso,26,33,2,0,2,0
kaiser,Musicmatic,0,20,0,1,0,22
kaiser,Musicmatic,1,21,0,0,0,24
kaiser,Musicmatic,2,28,1,5,1,34
kaiser,Musicmatic,3,27,1,4,1,33
kaiser,Musicmatic,4,22,2,1,2,25
kaiser,Musicmatic,5,28,2,1,2,31
kaiser,Musicmatic,6,13,0,0,0,14
kaiser,Musicmatic,7,33,2,0,2,38
kaiser,Musicmatic,8,13,1,4,1,19
kaiser,Musicmatic,9,8,1,1,1,9
kaiser,Musicmatic,10,17,1,0,1,19
kaiser,Musicmatic,11,17,1,0,1,19
kaiser,Musicmatic,12,12,0,0,1,16
kaiser,Musicmatic,13,17,2,2,3,18
kaiser,Musicmatic,14,21,1,0,2,23
kaiser,Musicmatic,15,34,4,1,5,42
kaiser,OnlineTutoringSystem,0,16,2,0,2,17
kaiser,OnlineTutoringSystem,1,13,0,4,0,16
kaiser,OnlineTutoringSystem,2,12,2,1,2,62
kaiser,OnlineTutoringSystem,3,12,0,1,0,19
kaiser,OnlineTutoringSystem,4,26,3,5,3,37
kaiser,OnlineTutoringSystem,5,11,2,1,2,15
kaiser,OnlineTutoringSystem,6,7,0,0,0,16
kaiser,OnlineTutoringSystem,7,34,4,4,4,23
kaiser,OnlineTutoringSystem,8,14,3,4,3,22
kaiser,OnlineTutoringSystem,9,15,4,2,4,23
